"Id","model","AIC","BIC","Concordance.train","Concordance.test","log.rank.p","likelihood.ratio.p"
"1","Surv(click_id, move_on) ~  Subject","8631.12353628007","8760.63332249768","0.774105877543595","0.76362693334411","2.37728566860055e-95","3.22170238217798e-104"
"2","Surv(click_id, move_on) ~  underlying_LSC + underlying_intricacy","9131.85383548592","9141.10453450146","0.513727215303885","0.479753712356915","0.643594891585993","0.637514556730833"
"3","Surv(click_id, move_on) ~  current_LSC + current_intricacy","9131.71362859728","9140.96432761282","0.485566456115974","0.448155421350762","0.984549016621352","0.984470704921741"
"4","Surv(click_id, move_on) ~  current_change_in_LSC + current_change_in_intricacy","9131.3694612836","9140.62016029915","0.515097112079817","0.486594506963287","0.868164096950545","0.868013926035375"
"5","Surv(click_id, move_on) ~  underlying_LSC + underlying_intricacy + current_LSC + current_intricacy","9134.25994717839","9152.76134520947","0.542948511787259","0.518127890485757","0.765740835837445","0.753221469873711"
"6","Surv(click_id, move_on) ~  underlying_LSC + underlying_intricacy + current_LSC + current_intricacy + current_change_in_LSC + current_change_in_intricacy","9137.32593361662","9165.07803066325","0.528546352871461","0.502297687688","0.926387539541897","0.92042941819302"
"7","Surv(click_id, move_on) ~  underlying_LSC_sq + underlying_intricacy_sq + current_LSC_sq + current_intricacy_sq","8745.21191103414","8763.71330906523","0.763167018254317","0.76168325061437","5.66206095803374e-78","3.77743293031867e-25"
"8","Surv(click_id, move_on) ~  underlying_LSC * current_LSC","8880.54733058199","8894.4233791053","0.709899237298373","0.70815066293391","1.66462812146775e-46","2.239273979343e-31"
"9","Surv(click_id, move_on) ~  underlying_intricacy * current_intricacy","9081.91463594111","9095.79068446442","0.567400083303538","0.568440838571472","6.44218597554736e-10","2.62213170268423e-06"
"10","Surv(click_id, move_on) ~  underlying_LSC * current_LSC + underlying_intricacy * current_intricacy","8829.7923882439","8857.54448529053","0.735647664400734","0.732216391213184","5.29276087510651e-60","3.66944193990902e-40"
"11","Surv(click_id, move_on) ~  underlying_LSC * current_LSC + underlying_intricacy * current_intricacy + Subject","8429.6818464769","8586.94372974114","0.821479033732014","0.811657585859069","6.64967973479571e-133","7.19664001116316e-119"
