"Variable","Coefficients","StdError","PValue","Significance"
"(Intercept)",30.0108441777956,3.24280629551979,5.13307078186859e-10,"***"
"uLSC",0.895181954886537,0.58477052759937,0.126064118261416,"NS"
"vLSC",7.93861981213342,0.727585556394109,1.49833560155279e-26,"***"
"uInt",-0.652557534842333,0.607867786164359,0.283244531338718,"NS"
"vInt",-5.34406834424447,0.974357749223346,5.00204216164402e-08,"***"
"uLSC:vLSC",7.22853212438823,0.424417681672581,9.73860178641591e-59,"***"
"uInt:vInt",1.57330943725174,0.211989463828741,2.12253515472248e-13,"***"
