,subject,set,pattern,visible_complexity_rating,imagined_complexity_rating,rtime,trial,LSC,intricacy,num_colours,num_revealed,underlying_LSC,underlying_intricacy
53,0yqv9u06,4,199,30,18,2687,54,0.6734325814767176,120,3,44,0.3726122402818334,114.0
54,0yqv9u06,4,190,26,29,2597,55,0.6190789875997389,38,3,41,0.7702311617391767,62.0
55,0yqv9u06,4,211,16,18,2153,56,0.958806385889828,77,3,71,0.8986092320669834,78.0
56,0yqv9u06,4,187,45,39,1945,57,0.613460497492042,29,3,33,0.8134343165694118,62.0
57,0yqv9u06,4,173,28,27,2495,58,0.3395589513172429,31,3,14,0.3726122402818334,114.0
58,0yqv9u06,4,168,4,7,2265,59,0.176291500995151,9,3,3,0.8134343165694118,62.0
59,0yqv9u06,4,180,5,6,2355,60,0.4493649940130184,13,3,28,0.3709748019792861,17.0
60,1wed2ljr,1,37,67,66,19959,1,0.8052085886012976,32,3,36,0.759619233755914,38.0
61,1wed2ljr,1,13,7,7,6069,2,0.3752558173901754,9,3,74,0.2255708268386491,6.0
62,1wed2ljr,1,5,19,54,12582,3,0.156049862497609,14,3,4,0.714319788998292,186.0
63,1wed2ljr,1,47,82,82,15279,4,1.0022813680192917,46,3,59,0.9479751547424754,47.0
64,1wed2ljr,1,12,17,44,42150,5,0.358020219857293,20,3,10,0.7763934740203636,32.0
65,1wed2ljr,1,11,14,43,11727,6,0.3591837367869553,9,3,23,0.8559935464734297,29.0
66,1wed2ljr,1,9,6,6,8742,7,0.3606001089282001,4,3,15,0.377464279124328,11.0
67,1wed2ljr,1,44,79,97,9271,8,0.8380444480927665,82,3,56,0.9765683593847632,112.0
68,1wed2ljr,1,53,79,84,8878,9,1.242279539723982,133,3,33,0.8933253295145774,46.0
69,1wed2ljr,1,20,24,57,15101,10,0.4701754606993975,22,3,13,0.8352107704266692,63.0
70,1wed2ljr,1,8,20,16,10695,11,0.3340693395882899,3,2,19,0.211232953257335,5.0
71,1wed2ljr,1,51,70,67,11902,12,1.071057236425062,144,3,40,0.3726122402818334,114.0
72,1wed2ljr,1,46,62,71,5391,13,0.9294936308578554,61,3,24,0.9662936750968476,64.0
73,1wed2ljr,1,23,37,59,6023,14,0.4380985052173102,75,3,24,0.3726122402818334,114.0
74,1wed2ljr,1,3,93,93,15574,15,0.9417446189245124,131,2,81,0.9417446189245124,131.0
75,1wed2ljr,1,19,30,31,56895,16,0.4733665098670601,13,3,17,0.916858816679865,28.0
76,1wed2ljr,1,48,79,82,8191,17,0.9169710325390452,109,3,65,0.8434276513958406,126.0
77,1wed2ljr,1,41,31,31,32535,18,0.8639526186508597,14,3,73,0.6846668431999672,7.0
78,1wed2ljr,1,36,63,80,11271,19,0.7583544816703526,61,3,34,0.971016706825666,108.0
79,1wed2ljr,1,49,84,87,12558,20,1.010512277793566,67,3,74,0.9662936750968476,64.0
80,1wed2ljr,1,27,12,43,9111,21,0.623626006950254,24,3,15,0.8573276323656119,39.0
81,1wed2ljr,1,17,32,58,10414,22,0.4300659169654007,18,3,24,0.9217867638198928,45.0
82,1wed2ljr,1,1,19,19,17654,23,0.4102956940145065,13,2,81,0.4102956940145065,13.0
83,1wed2ljr,1,32,43,71,8303,24,0.6837309308483916,45,3,28,0.9417446189245124,131.0
84,1wed2ljr,1,11,20,58,10630,25,0.3591837367869553,9,3,23,0.8559935464734297,29.0
85,1wed2ljr,1,21,21,59,12806,26,0.4902993214414688,28,3,13,0.916858816679865,28.0
86,1wed2ljr,1,42,40,49,27063,27,0.8462986770813339,51,3,61,0.7702311617391767,62.0
87,1wed2ljr,1,10,9,16,7047,28,0.3476570253930679,13,3,13,0.4539059575689228,66.0
88,1wed2ljr,1,25,16,28,13319,29,0.6142710144082902,22,3,20,0.211232953257335,5.0
89,1wed2ljr,1,30,33,59,15926,30,0.6459621798263714,30,3,26,0.8013583542890702,29.0
90,1wed2ljr,1,4,10,29,13327,31,0.0956678954281365,4,3,2,0.8237862528535181,22.0
91,1wed2ljr,1,39,46,61,10847,32,0.8091433697438183,44,3,45,0.946626538265491,63.0
92,1wed2ljr,1,7,10,72,9454,33,0.3042981748132402,19,3,5,0.9798178198285872,129.0
93,1wed2ljr,1,40,56,81,13751,34,0.8483612905676081,24,3,46,0.8820969625736855,30.0
94,1wed2ljr,1,2,72,72,14639,35,0.7625797989041064,60,2,81,0.7625797989041064,60.0
95,1wed2ljr,1,6,7,42,9430,36,0.1876405528433906,6,3,3,0.9005890912789549,59.0
96,1wed2ljr,1,22,22,42,10879,37,0.5122615892207323,23,3,11,0.5366913127546721,30.0
97,1wed2ljr,1,14,26,43,12319,38,0.3845854546454057,15,3,10,0.1836646302863872,10.0
98,1wed2ljr,1,26,30,58,69903,39,0.6012176783568561,33,3,21,0.7266153533971146,106.0
99,1wed2ljr,1,28,60,74,8559,40,0.6246266176931486,34,3,17,0.8493127920205841,66.0
100,1wed2ljr,1,29,50,59,16287,41,0.6516531785505184,17,3,48,0.6866368918045108,27.0
101,1wed2ljr,1,35,66,75,12079,42,0.7723177389186597,33,3,36,0.8013583542890702,29.0
102,1wed2ljr,1,33,52,62,10534,43,0.7010989416371628,43,3,34,0.9021786191903493,86.0
103,1wed2ljr,1,25,13,21,9071,44,0.6142710144082902,22,3,20,0.211232953257335,5.0
104,1wed2ljr,1,45,83,89,11903,45,0.9093384157108588,61,3,27,0.961979984373074,37.0
105,1wed2ljr,1,38,67,77,7719,46,0.7621729416081634,64,3,17,0.9765683593847632,112.0
106,1wed2ljr,1,43,16,25,10247,47,0.9251247704584132,21,3,40,0.6846668431999672,7.0
107,1wed2ljr,1,34,80,84,7910,48,0.6906282766265875,63,3,41,0.9765683593847632,112.0
108,1wed2ljr,1,16,62,72,14095,49,0.4162224756014276,9,3,25,0.9085637425139398,12.0
109,1wed2ljr,1,52,77,79,61991,50,1.2145662879877976,142,3,67,0.9566962770626366,134.0
110,1wed2ljr,1,13,4,5,14311,51,0.3752558173901754,9,3,74,0.2255708268386491,6.0
111,1wed2ljr,1,31,67,73,9743,52,0.6130415859539543,74,3,35,0.8434276513958406,126.0
112,1wed2ljr,1,18,25,45,12271,53,0.4408743309460485,17,3,9,0.7540329631872313,74.0
113,1wed2ljr,1,30,59,65,12215,54,0.6459621798263714,30,3,26,0.8013583542890702,29.0
114,1wed2ljr,1,24,48,57,9815,55,0.5884341075635763,26,3,15,0.9669991259544,70.0
115,1wed2ljr,1,50,77,81,9119,56,1.0964586248637271,64,3,32,0.7861743337667199,48.0
116,1wed2ljr,1,15,22,59,11983,57,0.3754102726299531,27,3,7,0.9765683593847632,112.0
117,1wed2ljr,1,54,75,82,6471,58,1.2757925239146377,125,3,57,0.9566962770626366,134.0
118,1wed2ljr,1,17,53,60,14983,59,0.4300659169654007,18,3,24,0.9217867638198928,45.0
119,1wed2ljr,1,28,60,66,9119,60,0.6246266176931486,34,3,17,0.8493127920205841,66.0
120,2hdajrrv,4,171,22,33,18899,1,0.356342238577416,13,3,8,0.7702311617391767,62.0
121,2hdajrrv,4,202,49,49,8237,2,0.862463389716247,30,3,41,0.5366913127546721,30.0
122,2hdajrrv,4,175,14,20,5212,3,0.3989856936066486,8,3,13,0.1179472434569747,7.0
123,2hdajrrv,4,208,50,50,5728,4,0.9110842342660554,35,3,51,0.8559935464734297,29.0
124,2hdajrrv,4,181,29,64,7319,5,0.4791830882294255,13,3,11,0.3726122402818334,114.0
125,2hdajrrv,4,214,62,63,5168,6,1.0686073595373673,95,3,37,0.9676097794179505,134.0
126,2hdajrrv,4,203,50,51,5752,7,0.8974010156175157,8,3,44,0.436944813114559,3.0
127,2hdajrrv,4,205,62,62,4683,8,0.854591723659465,45,3,71,0.586131803873728,40.0
128,2hdajrrv,4,198,74,74,5540,9,0.7910278800815163,37,3,40,0.7973260104912844,32.0
129,2hdajrrv,4,195,73,71,4796,10,0.6989641540059465,44,3,31,0.8986092320669834,78.0
130,2hdajrrv,4,173,65,66,5434,11,0.3395589513172429,31,3,14,0.3726122402818334,114.0
131,2hdajrrv,4,176,35,59,8335,12,0.3818311282520559,27,3,10,0.960681764435038,87.0
132,2hdajrrv,4,174,64,70,4180,13,0.3166127993157546,55,3,17,0.9365506107841312,177.0
133,2hdajrrv,4,166,13,51,5051,14,0.1031037488543488,7,3,4,0.846994161972378,84.0
134,2hdajrrv,4,182,62,68,5169,15,0.4895868455541154,15,3,16,0.8237862528535181,22.0
135,2hdajrrv,4,164,86,84,10779,16,0.8820969625736855,30,2,81,0.8820969625736855,30.0
136,2hdajrrv,4,180,26,63,4425,17,0.4493649940130184,13,3,28,0.3709748019792861,17.0
137,2hdajrrv,4,165,82,82,5033,18,0.9724226038193264,146,2,81,0.9724226038193264,146.0
138,2hdajrrv,4,201,73,73,6086,19,0.8374632620981224,27,3,47,0.916858816679865,28.0
139,2hdajrrv,4,184,28,49,4793,20,0.5595173433892039,18,3,18,0.5366913127546721,30.0
140,2hdajrrv,4,185,31,63,5894,21,0.6051645846170632,29,3,13,0.846994161972378,84.0
141,2hdajrrv,4,198,64,64,5049,22,0.7910278800815163,37,3,40,0.7973260104912844,32.0
142,2hdajrrv,4,177,22,50,5014,23,0.3949434703252076,23,3,9,0.9479751547424754,47.0
143,2hdajrrv,4,200,64,63,4733,24,0.7877732955340623,46,3,43,0.8493127920205841,66.0
144,2hdajrrv,4,164,86,86,4404,25,0.8820969625736855,30,2,81,0.8820969625736855,30.0
145,2hdajrrv,4,209,62,72,7257,26,0.9297299128467926,56,3,23,0.846994161972378,84.0
146,2hdajrrv,4,165,85,83,6992,27,0.9724226038193264,146,2,81,0.9724226038193264,146.0
147,2hdajrrv,4,216,51,69,5879,28,1.3011256677898475,81,3,53,0.9479751547424754,47.0
148,2hdajrrv,4,194,39,60,5002,29,0.6684439589776937,49,3,25,0.9806767876398864,110.0
149,2hdajrrv,4,191,13,63,5544,30,0.677246125180925,6,3,74,0.436944813114559,3.0
150,2hdajrrv,4,167,19,70,6184,31,0.1509014706290701,16,3,3,0.1503843675749793,26.0
151,2hdajrrv,4,183,55,83,6569,32,0.4453448668358873,51,3,25,0.8434276513958406,126.0
152,2hdajrrv,4,189,36,65,5033,33,0.6414602128509337,19,3,35,0.1179472434569747,7.0
153,2hdajrrv,4,201,67,71,9591,34,0.8374632620981224,27,3,47,0.916858816679865,28.0
154,2hdajrrv,4,211,67,66,3453,35,0.958806385889828,77,3,71,0.8986092320669834,78.0
155,2hdajrrv,4,168,10,60,3828,36,0.176291500995151,9,3,3,0.8134343165694118,62.0
156,2hdajrrv,4,172,32,71,5905,37,0.3507988707359171,21,3,15,0.946626538265491,63.0
157,2hdajrrv,4,179,53,67,6416,38,0.4262352800194719,13,3,31,0.5366913127546721,30.0
158,2hdajrrv,4,169,32,64,4578,39,0.3091753452749824,18,3,8,0.970575943324718,106.0
159,2hdajrrv,4,215,70,89,6040,40,1.1860100908650992,117,3,52,0.9297137410864044,113.0
160,2hdajrrv,4,210,40,51,9113,41,0.7798671275450725,166,3,24,0.2991310414639597,676.0
161,2hdajrrv,4,207,64,70,8123,42,0.8864934272407439,36,3,42,0.6744294655429091,36.0
162,2hdajrrv,4,187,58,58,4877,43,0.613460497492042,29,3,33,0.8134343165694118,62.0
163,2hdajrrv,4,192,67,78,5874,44,0.6444621630619757,44,3,31,0.7266153533971146,106.0
164,2hdajrrv,4,193,22,73,4522,45,0.6797611222595863,36,3,29,0.7540329631872313,74.0
165,2hdajrrv,4,170,20,75,4921,46,0.3264826500049776,19,3,9,0.8721238123967918,127.0
166,2hdajrrv,4,163,10,33,7294,47,0.347287799177756,2,2,81,0.347287799177756,2.0
167,2hdajrrv,4,196,51,57,4720,48,0.7219807493093688,61,3,38,0.9417446189245124,131.0
168,2hdajrrv,4,212,66,91,5571,49,1.0420777811240596,47,3,41,0.7266153533971146,106.0
169,2hdajrrv,4,204,74,74,7198,50,0.8311935136254743,60,3,54,0.9021786191903493,86.0
170,2hdajrrv,4,188,60,77,8735,51,0.638008520198901,21,3,31,0.586131803873728,40.0
171,2hdajrrv,4,199,64,64,5854,52,0.6734325814767176,120,3,44,0.3726122402818334,114.0
172,2hdajrrv,4,213,80,82,5412,53,0.9289439316455628,140,3,67,0.9365506107841312,177.0
173,2hdajrrv,4,190,62,65,9624,54,0.6190789875997389,38,3,41,0.7702311617391767,62.0
174,2hdajrrv,4,186,25,69,7199,55,0.5948589818533224,36,3,15,0.9804606443733836,118.0
175,2hdajrrv,4,181,48,89,7782,56,0.4791830882294255,13,3,11,0.3726122402818334,114.0
176,2hdajrrv,4,206,50,74,4816,57,0.8688173112839913,39,3,26,0.8237862528535181,22.0
177,2hdajrrv,4,197,6,31,10106,58,0.7167609284843239,73,3,46,0.9765683593847632,112.0
178,2hdajrrv,4,178,27,71,15148,59,0.4079937507842207,18,3,8,0.9668164998304252,98.0
179,2hdajrrv,4,205,61,86,6366,60,0.854591723659465,45,3,71,0.586131803873728,40.0
180,2opm0e80,2,105,39,30,19535,1,1.097774230811072,89,3,32,0.9297137410864044,113.0
181,2opm0e80,2,64,13,6,8899,2,0.3064124398034145,7,2,7,0.5126409163433703,32.0
182,2opm0e80,2,102,20,20,21177,3,0.390870413458231,446,3,57,0.3375488009445939,621.0
183,2opm0e80,2,74,16,20,8847,4,0.5124044325730495,7,3,21,0.347287799177756,2.0
184,2opm0e80,2,63,20,21,12881,5,0.2621302066272348,22,3,11,0.9765683593847632,112.0
185,2opm0e80,2,99,72,71,9268,6,0.8629008547411311,69,3,44,0.971016706825666,108.0
186,2opm0e80,2,82,19,20,9081,7,0.6144556771986371,35,3,23,0.1503843675749793,26.0
187,2opm0e80,2,101,70,69,9184,8,0.9110266386095636,66,3,22,0.9297137410864044,113.0
188,2opm0e80,2,103,62,65,9461,9,0.9571239785965506,123,3,75,0.8434276513958406,126.0
189,2opm0e80,2,107,75,82,7440,10,1.1333085532433815,131,3,67,0.9676097794179505,134.0
190,2opm0e80,2,80,19,19,7379,11,0.6047254368348421,28,3,18,0.7540329631872313,74.0
191,2opm0e80,2,83,50,49,11370,12,0.6421850319325081,19,3,27,0.916858816679865,28.0
192,2opm0e80,2,68,67,65,13287,13,0.3710535513609415,20,3,12,0.7758467648914809,36.0
193,2opm0e80,2,81,77,76,8389,14,0.606596208639326,29,3,12,0.7861743337667199,48.0
194,2opm0e80,2,66,49,82,8378,15,0.3348875451841893,9,3,10,0.8325060520687275,70.0
195,2opm0e80,2,84,49,75,7816,16,0.6457072882550682,37,3,23,0.8134343165694118,62.0
196,2opm0e80,2,85,22,25,12926,17,0.7200837345528227,15,3,45,0.9085637425139398,12.0
197,2opm0e80,2,61,49,48,7529,18,0.2340404904357064,8,3,75,0.1179472434569747,7.0
198,2opm0e80,2,73,51,52,8548,19,0.5054080072319812,5,3,35,0.377464279124328,11.0
199,2opm0e80,2,91,71,78,17569,20,0.7950905573931756,28,3,78,0.6866368918045108,27.0
200,2opm0e80,2,65,73,75,10764,21,0.3092511907403419,10,3,8,0.8237862528535181,22.0
201,2opm0e80,2,90,76,75,7189,22,0.7255347631242008,38,3,21,0.7266153533971146,106.0
202,2opm0e80,2,104,89,93,6556,23,1.0807989491290677,71,3,33,0.846994161972378,84.0
203,2opm0e80,2,59,86,88,6548,24,0.1590837955813729,11,3,3,0.9662936750968476,64.0
204,2opm0e80,2,88,27,29,9792,25,0.7269959505736927,22,3,37,0.916858816679865,28.0
205,2opm0e80,2,75,93,92,10154,26,0.4801126847380468,31,3,20,0.7973260104912844,32.0
206,2opm0e80,2,80,15,18,7810,27,0.6047254368348421,28,3,18,0.7540329631872313,74.0
207,2opm0e80,2,96,85,85,13987,28,0.8724228209098117,25,3,58,0.6866368918045108,27.0
208,2opm0e80,2,75,97,98,6493,29,0.4801126847380468,31,3,20,0.7973260104912844,32.0
209,2opm0e80,2,108,84,83,10701,30,1.3064747141393078,167,3,37,0.8434276513958406,126.0
210,2opm0e80,2,86,82,81,8998,31,0.6833524476814347,40,3,25,0.9748770128126518,94.0
211,2opm0e80,2,67,48,48,7459,32,0.3908410421433057,6,2,12,0.0218120056481487,5.0
212,2opm0e80,2,60,92,94,6887,33,0.1803364021292067,9,3,3,0.9668164998304252,98.0
213,2opm0e80,2,94,89,88,6992,34,0.8218508360546457,34,3,50,0.7973260104912844,32.0
214,2opm0e80,2,89,80,79,7612,35,0.7194268972075625,40,3,35,0.946626538265491,63.0
215,2opm0e80,2,93,81,82,6367,36,0.7015074435312239,104,3,47,0.9365506107841312,177.0
216,2opm0e80,2,98,54,55,10918,37,0.9062850759227804,30,3,44,0.8820969625736855,30.0
217,2opm0e80,2,62,17,18,7080,38,0.2438849935631821,9,3,5,0.1179472434569747,7.0
218,2opm0e80,2,56,86,85,6428,39,0.8493127920205841,66,2,81,0.8493127920205841,66.0
219,2opm0e80,2,79,80,81,10522,40,0.6063491251349904,26,3,16,0.9668164998304252,98.0
220,2opm0e80,2,76,98,97,6948,41,0.4913445462137542,25,3,15,0.8573276323656119,39.0
221,2opm0e80,2,78,4,6,8104,42,0.6109854054102395,11,3,32,0.0218120056481487,5.0
222,2opm0e80,2,87,25,27,7460,43,0.6964658621109567,36,3,21,0.8559935464734297,29.0
223,2opm0e80,2,92,48,49,7802,44,0.7804751118505173,47,3,36,0.7861743337667199,48.0
224,2opm0e80,2,97,48,50,6902,45,0.9285807695435256,15,3,64,0.436944813114559,3.0
225,2opm0e80,2,106,84,83,6536,46,1.0623836132190436,121,3,27,0.8434276513958406,126.0
226,2opm0e80,2,77,86,85,8469,47,0.5006900072129126,26,3,11,0.7266153533971146,106.0
