,patternname,patternnum,set,LSC,intricacy,num_colours,num_revealed,underlying_LSC,underlying_intricacy
0,patterns/complexity-extended/experiment/set1/0.3514_5neigh_tot_code24_IC3_iter20.png,1,1,0.4102956940145065,13,2,81,0.4102956940145065,13.0
1,patterns/complexity-extended/experiment/set1/0.6034_5neigh_tot_code478_IC2_iter40.png,2,1,0.7625797989041064,60,2,81,0.7625797989041064,60.0
2,patterns/complexity-extended/experiment/set1/0.7745_5neigh_tot_code469_IC2_iter15.png,3,1,0.9417446189245124,131,2,81,0.9417446189245124,131.0
3,patterns/complexity-extended/experiment/set1/005.957.png,4,1,0.0956678954281365,4,3,2,0.8237862528535181,22.0
4,patterns/complexity-extended/experiment/set1/010.455.png,5,1,0.156049862497609,14,3,4,0.714319788998292,186.0
5,patterns/complexity-extended/experiment/set1/011.603.png,6,1,0.1876405528433906,6,3,3,0.9005890912789549,59.0
6,patterns/complexity-extended/experiment/set1/019.717.png,7,1,0.3042981748132402,19,3,5,0.9798178198285872,129.0
7,patterns/complexity-extended/experiment/set1/020.029.png,8,1,0.3340693395882899,3,2,19,0.211232953257335,5.0
8,patterns/complexity-extended/experiment/set1/021.697.png,9,1,0.3606001089282001,4,3,15,0.377464279124328,11.0
9,patterns/complexity-extended/experiment/set1/021.747.png,10,1,0.3476570253930679,13,3,13,0.4539059575689228,66.0
10,patterns/complexity-extended/experiment/set1/022.068.png,11,1,0.3591837367869553,9,3,23,0.8559935464734297,29.0
11,patterns/complexity-extended/experiment/set1/023.000.png,12,1,0.358020219857293,20,3,10,0.7763934740203636,32.0
12,patterns/complexity-extended/experiment/set1/023.022.png,13,1,0.3752558173901754,9,3,74,0.2255708268386491,6.0
13,patterns/complexity-extended/experiment/set1/024.123.png,14,1,0.3845854546454057,15,3,10,0.1836646302863872,10.0
14,patterns/complexity-extended/experiment/set1/024.670.png,15,1,0.3754102726299531,27,3,7,0.9765683593847632,112.0
15,patterns/complexity-extended/experiment/set1/025.456.png,16,1,0.4162224756014276,9,3,25,0.9085637425139398,12.0
16,patterns/complexity-extended/experiment/set1/027.098.png,17,1,0.4300659169654007,18,3,24,0.9217867638198928,45.0
17,patterns/complexity-extended/experiment/set1/027.649.png,18,1,0.4408743309460485,17,3,9,0.7540329631872313,74.0
18,patterns/complexity-extended/experiment/set1/029.215.png,19,1,0.4733665098670601,13,3,17,0.916858816679865,28.0
19,patterns/complexity-extended/experiment/set1/029.845.png,20,1,0.4701754606993975,22,3,13,0.8352107704266692,63.0
20,patterns/complexity-extended/experiment/set1/031.587.png,21,1,0.4902993214414688,28,3,13,0.916858816679865,28.0
21,patterns/complexity-extended/experiment/set1/032.437.png,22,1,0.5122615892207323,23,3,11,0.5366913127546721,30.0
22,patterns/complexity-extended/experiment/set1/032.765.png,23,1,0.4380985052173102,75,3,24,0.3726122402818334,114.0
23,patterns/complexity-extended/experiment/set1/037.235.png,24,1,0.5884341075635763,26,3,15,0.9669991259544,70.0
24,patterns/complexity-extended/experiment/set1/038.406.png,25,1,0.6142710144082902,22,3,20,0.211232953257335,5.0
25,patterns/complexity-extended/experiment/set1/038.632.png,26,1,0.6012176783568561,33,3,21,0.7266153533971146,106.0
26,patterns/complexity-extended/experiment/set1/039.144.png,27,1,0.623626006950254,24,3,15,0.8573276323656119,39.0
27,patterns/complexity-extended/experiment/set1/040.114.png,28,1,0.6246266176931486,34,3,17,0.8493127920205841,66.0
28,patterns/complexity-extended/experiment/set1/040.172.png,29,1,0.6516531785505184,17,3,48,0.6866368918045108,27.0
29,patterns/complexity-extended/experiment/set1/041.017.png,30,1,0.6459621798263714,30,3,26,0.8013583542890702,29.0
30,patterns/complexity-extended/experiment/set1/043.067.png,31,1,0.6130415859539543,74,3,35,0.8434276513958406,126.0
31,patterns/complexity-extended/experiment/set1/044.627.png,32,1,0.6837309308483916,45,3,28,0.9417446189245124,131.0
32,patterns/complexity-extended/experiment/set1/045.477.png,33,1,0.7010989416371628,43,3,34,0.9021786191903493,86.0
33,patterns/complexity-extended/experiment/set1/046.675.png,34,1,0.6906282766265875,63,3,41,0.9765683593847632,112.0
34,patterns/complexity-extended/experiment/set1/048.797.png,35,1,0.7723177389186597,33,3,36,0.8013583542890702,29.0
35,patterns/complexity-extended/experiment/set1/050.517.png,36,1,0.7583544816703526,61,3,34,0.971016706825666,108.0
36,patterns/complexity-extended/experiment/set1/050.660.png,37,1,0.8052085886012976,32,3,36,0.759619233755914,38.0
37,patterns/complexity-extended/experiment/set1/051.017.png,38,1,0.7621729416081634,64,3,17,0.9765683593847632,112.0
38,patterns/complexity-extended/experiment/set1/051.987.png,39,1,0.8091433697438183,44,3,45,0.946626538265491,63.0
39,patterns/complexity-extended/experiment/set1/052.496.png,40,1,0.8483612905676081,24,3,46,0.8820969625736855,30.0
40,patterns/complexity-extended/experiment/set1/052.511.png,41,1,0.8639526186508597,14,3,73,0.6846668431999672,7.0
41,patterns/complexity-extended/experiment/set1/054.831.png,42,1,0.8462986770813339,51,3,61,0.7702311617391767,62.0
42,patterns/complexity-extended/experiment/set1/056.783.png,43,1,0.9251247704584132,21,3,40,0.6846668431999672,7.0
43,patterns/complexity-extended/experiment/set1/057.163.png,44,1,0.8380444480927665,82,3,56,0.9765683593847632,112.0
44,patterns/complexity-extended/experiment/set1/059.487.png,45,1,0.9093384157108588,61,3,27,0.961979984373074,37.0
45,patterns/complexity-extended/experiment/set1/060.684.png,46,1,0.9294936308578554,61,3,24,0.9662936750968476,64.0
46,patterns/complexity-extended/experiment/set1/063.643.png,47,1,1.0022813680192917,46,3,59,0.9479751547424754,47.0
47,patterns/complexity-extended/experiment/set1/064.311.png,48,1,0.9169710325390452,109,3,65,0.8434276513958406,126.0
48,patterns/complexity-extended/experiment/set1/066.044.png,49,1,1.010512277793566,67,3,74,0.9662936750968476,64.0
49,patterns/complexity-extended/experiment/set1/070.877.png,50,1,1.0964586248637271,64,3,32,0.7861743337667199,48.0
50,patterns/complexity-extended/experiment/set1/076.652.png,51,1,1.071057236425062,144,3,40,0.3726122402818334,114.0
51,patterns/complexity-extended/experiment/set1/084.995.png,52,1,1.2145662879877976,142,3,67,0.9566962770626366,134.0
52,patterns/complexity-extended/experiment/set1/085.822.png,53,1,1.242279539723982,133,3,33,0.8933253295145774,46.0
53,patterns/complexity-extended/experiment/set1/087.085.png,54,1,1.2757925239146377,125,3,57,0.9566962770626366,134.0
54,patterns/complexity-extended/experiment/set2/0.3316_9neigh_outertot_code224_IC3_iter25.png,55,2,0.3709748019792861,17,2,81,0.3709748019792861,17.0
55,patterns/complexity-extended/experiment/set2/0.6604_9neigh_outertot_code184_IC2_iter35.png,56,2,0.8493127920205841,66,2,81,0.8493127920205841,66.0
56,patterns/complexity-extended/experiment/set2/0.7861_5neigh_tot_code469_IC2_iter10.png,57,2,0.9566962770626366,134,2,81,0.9566962770626366,134.0
57,patterns/complexity-extended/experiment/set2/006.679.png,58,2,0.1047651647070256,6,3,3,0.916858816679865,28.0
58,patterns/complexity-extended/experiment/set2/010.362.png,59,2,0.1590837955813729,11,3,3,0.9662936750968476,64.0
59,patterns/complexity-extended/experiment/set2/011.442.png,60,2,0.1803364021292067,9,3,3,0.9668164998304252,98.0
60,patterns/complexity-extended/experiment/set2/014.542.png,61,2,0.2340404904357064,8,3,75,0.1179472434569747,7.0
61,patterns/complexity-extended/experiment/set2/015.218.png,62,2,0.2438849935631821,9,3,5,0.1179472434569747,7.0
62,patterns/complexity-extended/experiment/set2/017.485.png,63,2,0.2621302066272348,22,3,11,0.9765683593847632,112.0
63,patterns/complexity-extended/experiment/set2/018.750.png,64,2,0.3064124398034145,7,2,7,0.5126409163433703,32.0
64,patterns/complexity-extended/experiment/set2/019.192.png,65,2,0.3092511907403419,10,3,8,0.8237862528535181,22.0
65,patterns/complexity-extended/experiment/set2/020.624.png,66,2,0.3348875451841893,9,3,10,0.8325060520687275,70.0
66,patterns/complexity-extended/experiment/set2/023.675.png,67,2,0.3908410421433057,6,2,12,0.0218120056481487,5.0
67,patterns/complexity-extended/experiment/set2/023.774.png,68,2,0.3710535513609415,20,3,12,0.7758467648914809,36.0
68,patterns/complexity-extended/experiment/set2/025.161.png,69,2,0.3867239593159077,25,3,13,0.9633856455933564,64.0
69,patterns/complexity-extended/experiment/set2/025.413.png,70,2,0.4108983617670244,12,3,30,0.6866368918045108,27.0
70,patterns/complexity-extended/experiment/set2/025.840.png,71,2,0.2387749878406579,129,3,17,0.3375488009445939,621.0
71,patterns/complexity-extended/experiment/set2/027.746.png,72,2,0.4394454839150852,19,3,8,0.961979984373074,37.0
72,patterns/complexity-extended/experiment/set2/030.391.png,73,2,0.5054080072319812,5,3,35,0.377464279124328,11.0
73,patterns/complexity-extended/experiment/set2/030.988.png,74,2,0.5124044325730495,7,3,21,0.347287799177756,2.0
74,patterns/complexity-extended/experiment/set2/031.255.png,75,2,0.4801126847380468,31,3,20,0.7973260104912844,32.0
