Subject,grid_id,pattern,trial,num_clicks,underlying_LSC,underlying_intricacy,final_LSC,final_intricacy,avg_LSC,avg_intricacy,avg_change_in_LSC,avg_change_in_intricacy,final_change_in_LSC,final_change_in_intricacy,time_spent,cumulative_time,cumulative_time_bin,avg_change_in_pos
1,1,53,1,81,0.9566962770626366,134,0.2208069832788504,36.2,0.11204796179657894,10.930864197530866,0.00276008729098563,0.4525,0.003046948751739942,-1.2000000000000028,35,35,0,3.184186391641603
1,2,50,2,81,0.18366463028638727,10,-0.46627465688829806,-47.4,-0.20766892044010654,-26.472839506172836,-0.005828433211103726,-0.5924999999999999,-0.009210708897818776,-0.29999999999999716,33,68,0,4.0526388288309105
1,3,54,3,81,0.9662936750968476,64,0.2595547535965431,9.899999999999999,0.1296185904806669,13.562962962962965,0.003244434419956789,0.12374999999999999,0.002616341448757553,-0.8000000000000043,40,108,1,3.4099678187351237
1,4,52,4,70,0.8986092320669834,78,0.1537781361422481,-93.69999999999999,0.07099202285532358,-48.468571428571416,0.0022286686397427263,-1.3579710144927535,-0.004640952490859829,-0.39999999999997726,29,137,1,3.140595447038073
1,5,55,5,81,0.9717596220077629,103,0.39385957384600745,63.8,0.19835482141325467,32.88024691358025,0.004923244673075093,0.7975,0.0014683828538918364,0.6999999999999957,31,168,1,3.240483668315288
1,6,51,6,81,0.5366913127546721,30,-0.25811470895565847,-51.0,-0.14977279310848898,-31.001234567901232,-0.003226433861945731,-0.6375,0.009590488894755,-0.29999999999999716,36,204,2,3.4801860656990167
1,7,56,7,81,0.9767150258463972,98,0.35678214633941663,55.2,0.16961922388116993,29.920987654320985,0.004459776829242708,0.6900000000000001,0.005302947770456812,1.2000000000000028,64,268,2,3.5221753844127646
1,8,40,8,81,0.8559935464734297,29,0.13285793412962665,-51.099999999999994,0.08619529903091062,-9.64320987654321,0.001660724176620333,-0.6387499999999999,0.0016505007184394183,-2.8999999999999915,43,311,3,11.001610478534863
1,9,37,9,81,0.3375488009445939,621,-0.2383857458093535,566.5,-0.0842862664711868,276.0358024691358,-0.0029798218226169187,7.08125,-0.004561344271029444,7.899999999999977,33,344,3,8.38108919827323
1,10,36,10,81,0.02181200564814873,5,-0.7455826213564558,-71.1,-0.3320520159028566,-39.690123456790126,-0.009319782766955697,-0.8887499999999999,-0.012028216300853711,-0.3999999999999915,46,390,3,14.283246069297004
1,11,38,11,81,0.5657871324342701,5,-0.04020613501878867,-46.4,-0.07042459546854928,-25.082716049382714,-0.0005025766877348583,-0.58,-0.0005867673062520673,-0.6999999999999957,28,418,4,3.0047200119884323
1,12,41,12,81,0.9676097794179505,134,0.34923462485248724,92.6,0.17335100535887008,48.02716049382717,0.004365432810656091,1.1575,0.004406343661423118,0.5,29,447,4,3.0439425451274724
1,13,39,13,81,0.7702311617391767,62,0.05199727197811255,-64.5,0.023699930612317077,-32.93827160493828,0.0006499658997264068,-0.80625,0.007993936635445564,-1.5999999999999943,28,475,4,3.380877202212031
1,14,42,14,81,0.9765683593847632,112,0.170339992926148,49.1,0.08425129492646695,28.123456790123463,0.0021292499115768498,0.61375,0.003594020939036935,-0.8999999999999986,29,504,5,4.295423390428906
1,15,85,15,30,0.211232953257335,5,-0.22539423979882311,-22.7,-0.10140269501099416,-14.599999999999998,-0.007772215165476659,-0.7827586206896552,-0.008689461199464399,0.1999999999999993,11,515,5,5.280473221640849
1,16,89,16,81,0.8996233260850948,102,0.1657162551686222,31.900000000000006,0.09059081889770262,16.122222222222224,0.0020714531896077774,0.39875000000000005,0.0014313435588828582,-0.19999999999998863,35,550,5,3.6481050226066314
1,17,91,17,81,0.9722793871439693,120,0.14149807479715892,0.7999999999999972,0.07311302330099154,-1.7370370370370376,0.0017687259349644865,0.009999999999999964,2.8350004121602268e-05,1.5999999999999943,27,577,5,2.9761527209161067
1,18,87,18,81,0.7763934740203636,32,-0.08017292747666427,-42.7,-0.056273103325024776,-24.530864197530867,-0.0010021615934583034,-0.5337500000000001,0.005801992526416999,-0.5,32,609,6,5.4231850752269555
1,19,90,19,81,0.946626538265491,63,0.2815056402586893,3.0,0.14229486312138567,10.06049382716049,0.003518820503233616,0.037500000000000006,0.0019869165088441942,-0.3999999999999986,41,650,6,4.282752525599716
1,20,88,20,81,0.8573276323656119,39,0.11256448934556351,-21.700000000000003,0.04312073943210732,-10.461728395061726,0.001407056116819544,-0.27125000000000005,0.0015947137513178111,-0.9000000000000057,29,679,6,3.5783952277188744
1,21,86,21,81,0.5153611031101626,489,-0.07814799288232721,416.7,-0.03127812003505055,204.06172839506172,-0.0009768499110290902,5.20875,0.0009238870605301486,2.1999999999999886,27,706,7,2.9218845453012294
1,22,64,22,81,0.07938944688591129,4,-0.6620326879433428,-93.2,-0.3134143419694656,-51.704938271604966,-0.008275408599291784,-1.165,-0.010223472172479986,-0.9000000000000057,32,738,7,3.5548442299993708
1,23,66,23,81,0.714319788998292,186,0.020884635009915775,131.1,0.013814459785268046,65.41975308641976,0.0002610579376239472,1.6387499999999995,0.0018438590731907345,1.5,37,775,7,4.033364323992234
1,24,70,24,81,0.960681764435038,87,0.15393172442007097,-39.099999999999994,0.08008394517247085,-17.76543209876543,0.0019241465552508872,-0.4887499999999999,-0.0022601607226888643,-1.1999999999999886,28,803,8,3.1470957814315144
1,25,68,25,81,0.8624831416622412,147,0.30758011666197327,106.7,0.1462002433742019,53.90617283950617,0.003844751458274666,1.33375,0.004349149646193484,0.29999999999999716,32,835,8,3.5495696208115817
