"Subject","grid_id","pattern","trial","num_clicks","underlying_LSC","underlying_intricacy","final_LSC","final_intricacy","avg_LSC","avg_intricacy","avg_change_in_LSC","avg_change_in_intricacy","final_change_in_LSC","final_change_in_intricacy","time_spent","cumulative_time","cumulative_time_bin","avg_change_in_pos","uLSC","uLSCsq","uInt","uIntsq","vLSC","vLSCsq","vInt","vIntsq"
"1","1","53",1,81,0.956696277062637,134,0.22080698327885,36.2,1.74137084125476,0.218891824657303,0.772291163301737,0.0746558064387876,0.516218351224437,-0.65713367044818,35,35,0,3.1841863916416,0.883123459441501,0.779907044615924,0.600252556423757,0.360303131493255,1.68815667671411,2.84987296513442,0.692686514967348,0.479814608017611
"1","2","50",2,81,0.183664630286387,10,-0.466274656888298,-47.4,-3.25621895842513,-0.501286791222622,-1.7691000390762,0.0603939674844662,-1.81233087760011,-0.197705538975923,33,68,0,4.05263882883091,-1.91960586139407,3.68488666309845,-0.674939606467937,0.455543472379093,-3.62020722845864,13.1059003769842,-0.908077319089141,0.824604417444121
"1","3","54",3,81,0.966293675096848,64,0.259554753596543,9.9,2.01602257084518,0.269570796471542,0.915612184910158,0.0701691274376075,0.434417216623329,-0.452943389793845,40,108,1,3.40996781873512,0.917920105848396,0.84257732072073,-0.119613987144135,0.0143075059205172,1.98752032338399,3.95023703586441,0.189096935593118,0.0357576510507078
"1","4","52",4,70,0.898609232066983,78,0.153778136142248,-93.7,1.09961323298056,-0.924797144545476,0.615041415254944,0.0499470542472444,-0.944228417769755,-0.248753109139497,29,137,1,3.14059544703807,0.672521131776208,0.452284672685552,0.0243593215694436,0.000593376547323559,1.17029461790735,1.36958949270292,-1.79462475350081,3.22067800587784
"1","5","55",5,81,0.971759622007763,103,0.393859573846007,63.8,3.09045906657842,0.641509760813662,1.41238151866197,0.0793642604476306,0.216343080665281,0.31277016265991,31,168,1,3.24048366831529,0.937737625269805,0.879351853846653,0.281454515700833,0.0792166444083907,3.02515372591463,9.15155506541517,1.22116835491901,1.49125215105561
"1","6","51",6,81,0.536691312754672,30,-0.258114708955658,-51,-2.35122735032086,-0.588477442542804,-0.999153893761119,0.0597798213093997,1.75927438928802,-0.197705538975923,36,204,2,3.48018606569902,-0.639660547230805,0.409165615683613,-0.469263451162825,0.220208186597245,-2.01197221021619,4.04803217468224,-0.97700973299588,0.95454801836868
"1","7","56",7,81,0.976715025846397,98,0.356782146339417,55.2,2.6412843839361,0.58453157345966,1.27523879418293,0.0778971334738607,0.944783491926603,0.568008013477832,64,268,2,3.52217538441277,0.955704102700634,0.913370331918824,0.230035476874555,0.0529163206209041,2.73869507767486,7.50045072848051,1.05649647725291,1.11618480644782
"1","8","40",8,81,0.85599354647343,29,0.132857934129627,-51.1,1.33726017050006,-0.177245635607375,0.446983475395876,0.0597627616934256,0.250939446885601,-1.5249423632291,43,311,3,11.0016104785349,0.518012280762591,0.268336723020862,-0.47954725892808,0.229965573545435,1.00866601548144,1.0174071307872,-0.978924522271067,0.958293220303637
"1","9","37",9,81,0.337548800944594,621,-0.238385745809354,566.5,-1.32758795020696,5.32327691496247,-0.926180013452135,0.165122949949274,-0.929105491008881,3.98819521443793,33,344,3,8.38108919827323,-1.36167827988451,1.85416773790925,5.60846693810323,31.454901395797,-1.85954706925791,3.45791530278567,10.846814041285,117.653374846218
"1","10","36",10,81,0.0218120056481487,5,-0.745582621356456,-71.1,-5.20048816557031,-0.755775099029022,-2.8022098795324,0.0563508384986119,-2.34756402557277,-0.248753109139504,46,390,3,14.283246069297,-2.50642413541886,6.28216194661019,-0.726358645294215,0.527596881593647,-5.77812883534271,33.3867728378189,-1.3618823773085,1.85472360962346
"1","11","38",11,81,0.56578713243427,5,-0.0402061350187887,-46.4,-1.11091204268321,-0.474521067834802,-0.193149337168454,0.0605645636442069,-0.174067424941719,-0.401895819630257,28,418,4,3.00472001198843,-0.534169772991704,0.285337346378009,-0.726358645294215,0.527596881593647,-0.328419716755966,0.107859510354069,-0.888929426337269,0.790195525008306
"1","12","41",12,81,0.96760977941795,134,0.349234624852487,92.6,2.69961697155899,0.93315155499232,1.24732187196394,0.0842774298481624,0.774458388522651,0.210675022332745,29,447,4,3.04394254512747,0.922691817569922,0.851360190210487,0.600252556423757,0.360303131493255,2.68038324354553,7.18445433227968,1.77262766617292,3.14220884288166
"1","13","39",13,81,0.770231161739177,62,0.0519972719781125,-64.5,0.360376455286094,-0.625773552663134,0.147894453951029,0.0574767731529004,1.45598230539408,-0.86132395110251,28,475,4,3.38087720221203,0.207069318308371,0.0428777025846934,-0.140181602674646,0.0196508817284323,0.3839399345909,0.147409873373664,-1.23550628514615,1.52647578063564
"1","14","42",14,81,0.976568359384763,112,0.170339992926148,49.1,1.30687286340843,0.549921543927985,0.58562285811802,0.0768564968994425,0.620143958894483,-0.503990959957426,29,504,5,4.29542339042891,0.955172343885689,0.91235420652408,0.374008785588134,0.139882571697111,1.29825082807898,1.68545521260776,0.939694331466496,0.883025436590264
"1","15","85",15,30,0.211232953257335,5,-0.225394239798823,-22.7,-1.59513994207884,-0.272684693690944,-2.34427597968001,0.057797376280689,-1.71331106804674,0.0575323118419936,11,515,5,5.28047322164085,-1.81965323016718,3.31113787805785,-0.726358645294215,0.527596881593647,-1.75917523926205,3.09469752243268,-0.435124368117905,0.189333215730006
"1","16","89",16,81,0.899623326085095,102,0.165716255168622,31.9,1.40596785054777,0.318847301429759,0.568520485165338,0.0739222429519027,0.209306840602526,-0.146657968812335,35,550,5,3.64810502260663,0.67619786487051,0.457243552455437,0.271170707935578,0.0735335528422824,1.26252802428952,1.59397701211639,0.6103505761343,0.372527825787471
