Subject,grid_id,pattern_id,click_id,positionx,positiony,underlying_LSC,underlying_intricacy,current_LSC,current_intricacy,avg_LSC,avg_intricacy,current_change_in_LSC,current_change_in_intricacy,avg_change_in_LSC,avg_change_in_intricacy,time_taken,change_in_pos,clicks_to_go,move_on
1,1,53,81,10,2,0.9566962770626366,134,0.2208069832788504,36.2,0.1120479617965789,10.930864197530864,0.0030469487517399,-1.2000000000000028,0.0027600872909856,0.4525,0,2.0,0,0
1,2,50,81,8,17,0.1836646302863872,10,-0.466274656888298,-47.4,-0.2076689204401065,-26.472839506172843,-0.0092107088978187,-0.2999999999999971,-0.0058284332111037,-0.5924999999999999,1,3.0,0,0
1,3,54,81,21,0,0.9662936750968476,64,0.2595547535965431,9.9,0.1296185904806668,13.562962962962963,0.0026163414487575,-0.8000000000000043,0.0032444344199567,0.1237499999999999,0,1.0,0,0
1,4,52,70,25,10,0.8986092320669834,78,0.1537781361422481,-93.7,0.0709920228553235,-48.46857142857142,-0.0046409524908598,-0.3999999999999772,0.0022286686397427,-1.3579710144927537,0,3.0,0,1
1,5,55,81,0,25,0.9717596220077628,103,0.3938595738460074,63.8,0.1983548214132547,32.88024691358025,0.0014683828538918,0.6999999999999957,0.004923244673075,0.7975,0,4.0,0,0
1,6,51,81,25,25,0.5366913127546721,30,-0.2581147089556584,-51.0,-0.1497727931084889,-31.001234567901232,0.009590488894755,-0.2999999999999971,-0.0032264338619457,-0.6375,0,3.0,0,0
1,7,56,81,25,11,0.9767150258463972,98,0.3567821463394166,55.2,0.1696192238811699,29.920987654320985,0.0053029477704568,1.2000000000000028,0.0044597768292427,0.6900000000000001,0,2.0,0,0
1,8,40,81,15,1,0.8559935464734297,29,0.1328579341296266,-51.1,0.0861952990309106,-9.64320987654321,0.0016505007184394,-2.8999999999999915,0.0016607241766203,-0.6387499999999999,0,11.0,0,0
1,9,37,81,8,4,0.3375488009445939,621,-0.2383857458093535,566.5,-0.0842862664711868,276.0358024691358,-0.0045613442710294,7.899999999999977,-0.0029798218226169,7.08125,1,3.1622776601683795,0,0
1,10,36,81,12,14,0.0218120056481487,5,-0.7455826213564558,-71.1,-0.3320520159028566,-39.690123456790126,-0.0120282163008537,-0.3999999999999915,-0.0093197827669556,-0.8887499999999999,0,2.0,0,0
1,11,38,81,24,24,0.5657871324342701,5,-0.0402061350187886,-46.4,-0.0704245954685492,-25.08271604938272,-0.000586767306252,-0.6999999999999957,-0.0005025766877348,-0.58,1,3.0,0,0
1,12,41,81,1,1,0.9676097794179505,134,0.3492346248524872,92.6,0.17335100535887,48.02716049382716,0.0044063436614231,0.5,0.004365432810656,1.1575,1,3.0,0,0
1,13,39,81,1,2,0.7702311617391767,62,0.0519972719781125,-64.5,0.023699930612317,-32.93827160493827,0.0079939366354455,-1.5999999999999943,0.0006499658997264,-0.80625,1,8.0,0,0
1,14,42,81,4,13,0.9765683593847632,112,0.170339992926148,49.1,0.0842512949264669,28.123456790123456,0.0035940209390369,-0.8999999999999986,0.0021292499115768,0.61375,0,4.0,0,0
1,15,85,30,25,10,0.211232953257335,5,-0.2253942397988231,-22.7,-0.1014026950109941,-14.599999999999998,-0.0086894611994643,0.1999999999999993,-0.0077722151654766,-0.7827586206896552,0,2.0,0,1
1,16,89,81,2,2,0.8996233260850948,102,0.1657162551686222,31.90000000000001,0.0905908188977026,16.122222222222224,0.0014313435588828,-0.1999999999999886,0.0020714531896077,0.39875,0,3.0,0,0
1,17,91,81,25,1,0.9722793871439692,120,0.1414980747971589,0.7999999999999972,0.0731130233009915,-1.7370370370370376,2.8350004121602268e-05,1.5999999999999943,0.0017687259349644,0.0099999999999999,0,5.0,0,0
1,18,87,81,25,7,0.7763934740203636,32,-0.0801729274766642,-42.7,-0.0562731033250248,-24.530864197530867,0.0058019925264169,-0.5,-0.0010021615934583,-0.5337500000000001,0,2.0,0,0
1,19,90,81,5,24,0.946626538265491,63,0.2815056402586893,3.0,0.1422948631213856,10.060493827160496,0.0019869165088441,-0.3999999999999986,0.0035188205032336,0.0375,0,4.0,0,0
1,20,88,81,18,2,0.8573276323656119,39,0.1125644893455635,-21.700000000000003,0.0431207394321073,-10.461728395061728,0.0015947137513178,-0.9000000000000057,0.0014070561168195,-0.27125,0,3.1622776601683795,0,0
1,21,86,81,2,1,0.5153611031101626,489,-0.0781479928823272,416.7,-0.0312781200350505,204.0617283950617,0.0009238870605301,2.1999999999999886,-0.000976849911029,5.20875,0,1.0,0,0
1,22,64,81,25,25,0.0793894468859112,4,-0.6620326879433428,-93.2,-0.3134143419694656,-51.70493827160493,-0.0102234721724799,-0.9000000000000057,-0.0082754085992917,-1.165,0,2.0,0,0
